Datum,Kp
Aug 02,2
Aug 03,2
Aug 04,4
Aug 05,3
Aug 06,3
Aug 07,2
Aug 08,2
Aug 09,2
Aug 10,2
Aug 11,3
Aug 12,3
Aug 13,2
Aug 14,2
Aug 15,2
Aug 16,2
Aug 17,3
Aug 18,3
Aug 19,5
Aug 20,3
Aug 21,2
Aug 22,2
